NOTE=SCREENING ORDER ONLY; NOT AN AUTO PICK OR CONFIDENCE
FIELDS=rank|score|fixture|kickoff|league|match|side|team|odds|book|side_form|side_venue|opp_form|opp_venue|ranks|points|h2h_wdl|common_edge/common_n|injuries
11|2.631|1610531|2026-08-04T12:00:00+00:00|Indonesia / Piala Presiden|Persib Bandung vs Persija|home|Persib Bandung|2.25|Bet365|5-1-0 GF7 GA2|3-2-0 GF3 GA0|3-1-2 GF13 GA7|2-2-1 GF8 GA5|1:2|9:4|2-0-0|0.31/8|0
12|2.562|1576856|2026-08-04T18:00:00+00:00|Argentina / Reserve League|Godoy Cruz Res. vs Racing Club Res.|away|Racing Club Res.|2.3|Bet365|4-1-1 GF12 GA9|4-1-0 GF10 GA6|2-1-3 GF7 GA8|2-1-2 GF7 GA7|25:15|1:3|4-0-0|0.88/8|0
13|2.438|1576854|2026-08-04T18:00:00+00:00|Argentina / Reserve League|Banfield Res. vs Tigre Res.|home|Banfield Res.|2.0|Bet365|3-0-3 GF5 GA8|2-2-1 GF4 GA3|1-1-4 GF5 GA11|1-1-3 GF5 GA9|19:18|3:3|1-3-1|1.12/8|0
14|2.407|1563635|2026-08-04T13:15:00+00:00|Russia / Cup|Akron vs FC Rostov|away|FC Rostov|2.45|Pinnacle|2-2-2 GF11 GA11|2-1-2 GF12 GA11|1-1-4 GF4 GA13|1-1-3 GF4 GA10|None:None|None:None|2-0-3|0.38/4|0
15|2.327|1563640|2026-08-04T15:30:00+00:00|Russia / Cup|Rodina Moskva vs Rubin|away|Rubin|2.06|Pinnacle|3-1-2 GF9 GA7|3-1-1 GF7 GA4|2-1-3 GF8 GA13|2-1-2 GF5 GA9|None:None|None:None|1-1-1|1.50/3|0
16|1.357|1549707|2026-08-04T23:15:00+00:00|Colombia / Primera A|Deportes Tolima vs Independiente Medellin|home|Deportes Tolima|1.91|Bet365|3-1-2 GF8 GA8|4-0-1 GF8 GA3|3-2-1 GF9 GA7|1-2-2 GF5 GA6|3:4|6:6|2-1-3|-1.00/2|0
17|1.192|1499993|2026-08-04T18:00:00+00:00|Argentina / Primera C|Atletico Atlas vs Sacachispas|away|Sacachispas|1.83|Bet365|3-1-2 GF5 GA3|1-2-2 GF2 GA2|4-1-1 GF7 GA3|1-2-2 GF5 GA6|1:9|35:26|1-0-0|1.75/4|0
18|0.872|1493034|2026-08-04T00:15:00+00:00|Argentina / Liga Profesional Argentina|Central Cordoba de Santiago vs San Lorenzo|away|San Lorenzo|2.6|Bet365|1-1-4 GF5 GA6|1-2-2 GF4 GA4|1-1-4 GF5 GA9|2-0-3 GF7 GA10|10:15|3:0|3-2-1|0.50/8|0
19|0.733|1567345|2026-08-04T23:30:00+00:00|Chile / Copa Chile|Universidad de Concepcion vs Curico Unido|away|Curico Unido|2.15|Bet365|1-3-1 GF6 GA6|1-2-1 GF4 GA5|1-1-3 GF6 GA8|1-2-2 GF4 GA4|None:None|None:None|0-2-4|2.00/1|0
20|0.715|1511628|2026-08-04T00:00:00+00:00|Chile / Primera B|Deportes Temuco vs Deportes Copiapo|home|Deportes Temuco|1.9|Bet365|0-1-4 GF1 GA7|1-1-2 GF6 GA3|0-1-4 GF1 GA9|0-2-3 GF3 GA10|9:10|23:23|0-2-4|0.62/8|0
21|0.700|1606352|2026-08-04T19:00:00+00:00|World / UEFA Europa League|Shamrock Rovers vs Egnatia Rrogozhinë|home|Shamrock Rovers|1.95|Bet365|3-1-2 GF11 GA7|5-0-0 GF15 GA4|3-2-1 GF16 GA7|3-1-1 GF11 GA4|None:None|None:None|0-0-0|0.00/0|0
22|0.685|1530108|2026-08-04T23:45:00+00:00|World / Leagues Cup|Columbus Crew vs Atlas|home|Columbus Crew|1.7|Bet365|3-2-1 GF9 GA6|3-1-1 GF7 GA4|2-1-3 GF7 GA9|4-0-1 GF6 GA3|None:None|None:None|0-0-0|0.00/0|0
23|0.567|1576853|2026-08-04T18:00:00+00:00|Argentina / Reserve League|Atlético Tucumán Res. vs Sarmiento Res.|home|Atlético Tucumán Res.|1.83|Bet365|3-0-3 GF7 GA8|4-0-1 GF11 GA7|2-1-3 GF5 GA7|2-1-2 GF5 GA7|14:2|3:6|2-1-3|0.75/8|0
24|0.540|1583616|2026-08-04T18:45:00+00:00|World / Friendlies Clubs|Ipswich vs Le Havre|home|Ipswich|1.8|Bet365|2-2-2 GF8 GA7|2-2-1 GF9 GA6|2-2-2 GF7 GA6|1-3-1 GF7 GA6|None:None|None:None|0-0-0|0.00/0|0
25|0.233|1500181|2026-08-04T18:00:00+00:00|Argentina / Primera C|Centro Español vs Leones de Rosario|home|Centro Español|2.15|Bet365|2-1-3 GF4 GA5|2-0-3 GF6 GA7|1-3-2 GF2 GA4|1-3-1 GF2 GA3|8:4|30:30|1-0-0|0.00/4|0
26|0.037|1499994|2026-08-04T18:00:00+00:00|Argentina / Primera C|Berazategui vs Central Cordoba|home|Berazategui|2.35|Bet365|2-2-2 GF3 GA4|2-1-2 GF6 GA6|2-2-2 GF5 GA3|1-3-1 GF5 GA4|4:None|33:None|0-5-1|0.50/4|0
27|-0.087|1576855|2026-08-04T18:00:00+00:00|Argentina / Reserve League|Gimnasia La Plata Res. vs Aldosivi Res.|home|Gimnasia La Plata Res.|1.83|Bet365|0-4-2 GF1 GA4|1-1-3 GF3 GA5|2-2-2 GF6 GA6|1-2-2 GF6 GA6|21:28|2:1|2-0-0|0.62/8|0
28|-0.125|1525753|2026-08-04T22:20:00+00:00|Colombia / Liga Femenina|Millonarios W vs Santa Fe W|home|Millonarios W|2.0|Bet365|2-4-0 GF6 GA1|3-2-0 GF13 GA1|3-2-1 GF9 GA3|3-2-0 GF9 GA3|None:None|None:None|3-1-2|0.50/8|0
29|-0.142|1610534|2026-08-04T20:00:00+00:00|World / CONCACAF U20|Costa Rica U20 vs Haiti U20|home|Costa Rica U20|1.85|Bet365|2-0-4 GF6 GA7|3-0-2 GF10 GA7|4-0-2 GF10 GA16|3-0-2 GF12 GA13|None:None|None:None|1-0-0|1.00/3|0
30|-0.257|1530107|2026-08-05T00:00:00+00:00|World / Leagues Cup|Charlotte vs U.N.A.M. - Pumas|home|Charlotte|2.1|Bet365|3-1-1 GF9 GA5|2-2-1 GF8 GA6|3-0-3 GF11 GA8|3-1-1 GF10 GA3|None:None|None:None|0-0-0|0.00/0|0
31|-0.262|1598826|2026-08-04T18:00:00+00:00|World / UEFA Champions League|Sparta Praha vs Lyon|away|Lyon|2.0|Bet365|4-0-2 GF15 GA12|2-0-3 GF5 GA9|2-0-3 GF8 GA10|4-0-0 GF12 GA3|None:None|None:None|2-0-0|-3.00/1|0
32|-0.508|1583615|2026-08-04T17:00:00+00:00|World / Friendlies Clubs|Eldense vs Villarreal II|home|Eldense|2.2|Bet365|2-0-4 GF7 GA12|4-0-1 GF11 GA6|3-2-1 GF9 GA6|2-2-1 GF8 GA8|None:None|None:None|3-0-2|0.17/6|0
33|-0.577|1545393|2026-08-04T19:00:00+00:00|Bolivia / Primera División|ABB vs Real Oruro|home|ABB|1.85|Bet365|1-1-4 GF9 GA13|3-0-2 GF10 GA9|3-0-3 GF12 GA16|2-1-2 GF9 GA9|12:11|13:14|2-1-3|0.25/8|0
34|-0.663|1500026|2026-08-04T18:00:00+00:00|Argentina / Primera C|El Porvenir vs Fénix|home|El Porvenir|2.15|Bet365|0-3-3 GF3 GA7|1-2-2 GF2 GA3|3-1-2 GF8 GA6|1-1-3 GF3 GA5|10:14|25:21|2-1-0|0.62/8|0
35|-0.670|1530110|2026-08-05T00:30:00+00:00|World / Leagues Cup|Minnesota United FC vs FC Juarez|home|Minnesota United FC|1.75|Bet365|0-3-2 GF4 GA6|0-3-1 GF2 GA3|1-2-3 GF7 GA11|1-1-3 GF7 GA10|None:None|None:None|0-0-0|-1.00/1|0
36|-0.693|1595183|2026-08-04T09:30:00+00:00|India / Calcutta Premier Division|Measurers vs Peerless|away|Peerless|1.8|Bet365|2-1-3 GF2 GA5|2-2-1 GF5 GA4|2-3-1 GF6 GA7|1-3-1 GF5 GA7|21:15|3:5|0-0-0|0.17/3|0
37|-0.757|1607176|2026-08-04T19:00:00+00:00|World / UEFA Europa League|Larne vs Saburtalo|away|Saburtalo|2.1|Bet365|2-2-1 GF9 GA8|2-1-1 GF9 GA7|4-0-2 GF6 GA11|3-0-2 GF12 GA9|None:None|None:None|0-0-0|0.00/0|0
38|-1.043|1598825|2026-08-04T18:00:00+00:00|World / UEFA Champions League|Union St. Gilloise vs Bodo/Glimt|home|Union St. Gilloise|2.1|Bet365|5-0-1 GF16 GA10|5-0-0 GF17 GA3|6-0-0 GF17 GA0|4-1-0 GF15 GA4|None:None|None:None|0-1-0|0.00/0|0
39|-1.173|1546857|2026-08-05T00:30:00+00:00|Brazil / Copa Do Brasil|Remo vs Santos|away|Santos|2.25|Bet365|2-2-1 GF11 GA7|1-0-2 GF7 GA6|2-1-3 GF5 GA7|3-1-1 GF7 GA4|None:None|None:None|1-1-0|-1.00/5|0
40|-1.200|1546856|2026-08-04T22:30:00+00:00|Brazil / Copa Do Brasil|Juventude vs Atletico-MG|away|Atletico-MG|2.4|Bet365|3-2-0 GF5 GA2|3-1-1 GF6 GA6|3-2-1 GF6 GA4|5-0-0 GF9 GA0|None:None|None:None|2-3-1|-0.00/1|0
41|-1.275|1604760|2026-08-04T12:00:00+00:00|World / Friendlies Clubs|Al-Nassr vs Almeria|away|Almeria|2.15|Bet365|2-1-3 GF5 GA7|1-2-2 GF2 GA4|2-1-3 GF10 GA9|3-1-1 GF12 GA4|None:None|None:None|1-0-0|0.00/0|0
42|-1.280|1500000|2026-08-04T18:00:00+00:00|Argentina / Primera C|Estrella Del Sur vs Lujan|home|Estrella Del Sur|2.3|Bet365|3-1-2 GF8 GA4|3-2-0 GF7 GA2|4-1-1 GF10 GA5|3-1-1 GF7 GA5|6:1|32:39|1-2-0|-0.75/4|0
43|-1.884|1493039|2026-08-04T00:15:00+00:00|Argentina / Liga Profesional Argentina|Huracan vs Atletico Tucuman|home|Huracan|2.1|Bet365|2-1-3 GF5 GA6|3-1-1 GF7 GA4|3-2-1 GF7 GA2|3-0-2 GF7 GA3|12:4|3:4|2-2-2|0.06/8|0
44|-1.978|1530111|2026-08-05T02:00:00+00:00|World / Leagues Cup|Tigres UANL vs Real Salt Lake|away|Real Salt Lake|2.1|Bet365|2-2-2 GF10 GA9|0-2-3 GF5 GA10|1-1-4 GF6 GA10|4-1-0 GF15 GA5|None:None|None:None|0-1-2|0.00/0|0
45|-2.163|1531074|2026-08-04T14:00:00+00:00|Uzbekistan / Pro League A|Respublika FA vs Gazalkent|home|Respublika FA|2.15|Bet365|2-1-3 GF9 GA7|2-1-2 GF6 GA5|3-1-2 GF8 GA7|3-2-0 GF10 GA6|11:8|12:18|0-0-0|0.00/8|0
46|-2.365|1499996|2026-08-04T18:00:00+00:00|Argentina / Primera C|Claypole vs Juventud Unida|home|Claypole|2.5|Bet365|1-2-3 GF5 GA9|1-2-2 GF6 GA9|3-1-1 GF8 GA2|2-0-2 GF5 GA5|13:10|22:25|4-1-0|-0.25/4|0
47|-2.628|1591923|2026-08-04T16:30:00+00:00|World / Friendlies Clubs|Huesca vs UD Logroñés|home|Huesca|1.7|Bet365|2-2-2 GF5 GA4|2-1-2 GF4 GA4|5-1-0 GF12 GA2|2-2-1 GF9 GA5|None:None|None:None|0-0-0|0.00/0|0
48|-2.820|1605370|2026-08-04T16:00:00+00:00|World / UEFA Champions League|Ararat-Armenia vs Celje|away|Celje|2.45|Bet365|1-4-0 GF8 GA8|1-1-0 GF7 GA3|3-1-2 GF12 GA9|3-2-0 GF7 GA2|None:None|None:None|0-0-1|-0.00/1|0
49|-2.938|1585033|2026-08-04T16:00:00+00:00|World / Friendlies Clubs|Strasbourg vs SV Elversberg|home|Strasbourg|1.73|Bet365|2-1-3 GF11 GA19|1-0-4 GF6 GA11|3-1-2 GF12 GA6|2-1-2 GF9 GA6|None:None|None:None|0-0-0|0.00/0|0
50|-3.223|1589440|2026-08-04T18:00:00+00:00|Luxembourg / National Division|Atert Bissen vs F91 Dudelange|home|Atert Bissen|1.85|Bet365|1-2-3 GF7 GA13|1-1-3 GF6 GA12|4-0-2 GF13 GA6|2-0-3 GF7 GA9|10:8|0:0|2-0-1|-0.33/6|0
51|-4.151|1545399|2026-08-04T22:00:00+00:00|Bolivia / Primera División|Independiente Petrolero vs Aurora|home|Independiente Petrolero|2.6|Bet365|1-0-5 GF7 GA11|1-1-3 GF5 GA8|3-2-1 GF10 GA8|2-2-1 GF6 GA5|9:4|15:21|3-0-3|-0.94/8|0
52|-4.183|1607168|2026-08-04T16:00:00+00:00|World / UEFA Champions League|Mjallby AIF vs Slovan Bratislava|home|Mjallby AIF|2.0|Bet365|1-3-2 GF9 GA8|1-2-1 GF7 GA5|5-1-0 GF14 GA3|3-1-1 GF8 GA2|None:None|None:None|0-0-0|0.00/0|0
